,fdc_id,simple_category,energy,protein,fat,carb,sugar,fiber,Na,Ca,Fe,cate_id
0,1062251,Baked Goods and Baking Supplies,0.7775625,0.63528125,0.67525,0.8935,0.840125,0.94153125,0.53896875,0.70203125,0.8659375,1
1,1020397,Baked Goods and Baking Supplies,0.732375,0.60003125,0.4243125,0.95875,0.104875,0.8218125,0.0453125,0.15271875,0.1688125,1
2,437046,Baked Goods and Baking Supplies,0.64278125,0.3966875,0.73453125,0.717,0.80984375,0.64603125,0.420875,0.663,0.6473125,1
3,779678,Baked Goods and Baking Supplies,0.504875,0.6695625,0.40834375,0.75834375,0.53459375,0.9494375,0.51528125,0.59565625,0.1688125,1
4,649384,Baked Goods and Baking Supplies,0.94065625,0.32953125,0.867625,0.88734375,0.94421875,0.20790625,0.3938125,0.6084375,0.1688125,1
5,539540,Baked Goods and Baking Supplies,0.76484375,0.67540625,0.504125,0.9355,0.8611875,0.91878125,0.68021875,0.90946875,0.97721875,1
6,956843,Baked Goods and Baking Supplies,0.690875,0.69740625,0.3649375,0.90346875,0.441,0.7831875,0.9839375,0.649875,0.9279375,1
7,1083703,Baked Goods and Baking Supplies,0.48590625,0.52803125,0.4963125,0.703125,0.104875,0.946125,0.6436875,0.62175,0.92590625,1
8,457254,Baked Goods and Baking Supplies,0.7104375,0.45325,0.7565625,0.84896875,0.92078125,0.20790625,0.4618125,0.15271875,0.1688125,1
9,600894,Baked Goods and Baking Supplies,0.63678125,0.62809375,0.69065625,0.72221875,0.613625,0.8218125,0.7391875,0.81515625,0.4659375,1
10,421774,Baked Goods and Baking Supplies,0.93859375,0.616,0.8561875,0.85865625,0.8881875,0.20790625,0.3466875,0.73065625,0.7343125,1
11,546700,Baked Goods and Baking Supplies,0.769625,0.081375,0.13184375,0.99525,0.997875,0.20790625,0.0453125,0.15271875,0.1688125,1
12,360818,Baked Goods and Baking Supplies,0.7549375,0.781125,0.45475,0.92946875,0.62503125,0.91021875,0.84084375,0.9183125,0.91109375,1
13,752602,Baked Goods and Baking Supplies,0.8816875,0.5481875,0.8245625,0.885625,0.266,0.9676875,0.61609375,0.46753125,0.86721875,1
14,581608,Baked Goods and Baking Supplies,0.8889375,0.46678125,0.731625,0.944,0.95175,0.59475,0.476375,0.15271875,0.8591875,1
15,483686,Baked Goods and Baking Supplies,0.862125,0.72046875,0.73859375,0.86671875,0.81253125,0.92671875,0.2984375,0.677625,0.84340625,1
16,1030691,Baked Goods and Baking Supplies,0.720875,0.66275,0.13184375,0.95440625,0.104875,0.20790625,0.0453125,0.15271875,0.1688125,1
17,446318,Baked Goods and Baking Supplies,0.85246875,0.4985,0.7985625,0.809875,0.88859375,0.64603125,0.61028125,0.83534375,0.87890625,1
18,561457,Baked Goods and Baking Supplies,0.92809375,0.081375,0.84603125,0.99525,0.997875,0.20790625,0.0453125,0.15271875,0.1688125,1
19,1094695,Baked Goods and Baking Supplies,0.7875625,0.4985,0.647125,0.90590625,0.9053125,0.64603125,0.35578125,0.4184375,0.7725,1
20,686202,Baked Goods and Baking Supplies,0.74878125,0.461,0.56359375,0.96946875,0.95425,0.20790625,0.6140625,0.57071875,0.808875,1
21,1087603,Baked Goods and Baking Supplies,0.89921875,0.64596875,0.6995,0.9645,0.8816875,0.91021875,0.4255,0.59565625,0.9015,1
22,637348,Baked Goods and Baking Supplies,0.59965625,0.73125,0.32934375,0.79071875,0.62503125,0.20790625,0.62715625,0.714625,0.1688125,1
23,557917,Baked Goods and Baking Supplies,0.64278125,0.71090625,0.647125,0.72984375,0.45828125,0.91878125,0.51284375,0.52140625,0.76403125,1
24,386599,Baked Goods and Baking Supplies,0.3444375,0.081375,0.13184375,0.6625625,0.84965625,0.5463125,0.1485,0.15271875,0.1688125,1
25,441290,Baked Goods and Baking Supplies,0.88809375,0.45584375,0.8535625,0.7785,0.904125,0.739,0.56478125,0.15271875,0.1688125,1
26,527798,Baked Goods and Baking Supplies,0.94921875,0.781125,0.8629375,0.83890625,0.96071875,0.91021875,0.4026875,0.82496875,0.1688125,1
27,470063,Baked Goods and Baking Supplies,0.732375,0.76371875,0.380875,0.9401875,0.31615625,0.8218125,0.0453125,0.15271875,0.88615625,1
28,540783,Baked Goods and Baking Supplies,0.91325,0.39321875,0.83665625,0.9205625,0.9405,0.20790625,0.50725,0.15271875,0.91671875,1
29,637120,Baked Goods and Baking Supplies,0.713375,0.48759375,0.4160625,0.90346875,0.104875,0.874625,0.97975,0.15271875,0.7525625,1
30,492783,Baked Goods and Baking Supplies,0.92809375,0.37471875,0.7874375,0.94828125,0.94665625,0.7831875,0.6513125,0.15271875,0.8210625,1
