Country Code,Country,Energy,Protein,Zinc,Iron,Calcium,Selenium,Magnesium,Vitamin C,Thiamine,Riboflavin,Niacin,Vitamin B6,Pathothenate,Vitamin B12,Folate,Vitamin A,Vitamin E,Vitamin K,Polyunsaturate fatty acids,Phosphorus,Manganese,Copper,Choline,Potassium,Fibre,Food Production Adequacy indic ator
CRI,Costa Rica,1.4,1.2,1.3,0.5,1.1,3.0,1.3,4.4,1.1,1.5,0.9,1.5,1.3,2.2,0.6,1.0,2.3,2.0,0.8,1.5,1.5,1.3,0.7,1.0,0.6,0.5
CIV,Côte d'Ivoire,1.8,1.8,3.2,2.0,0.5,3.6,6.6,4.0,1.8,1.0,1.4,2.8,1.2,0.7,1.0,0.3,2.6,2.4,1.2,2.7,6.6,10.9,0.7,2.7,3.1,0.3
HRV,Croatia,1.2,1.8,3.4,1.6,1.1,11.7,3.8,1.4,3.3,2.5,2.4,2.7,1.7,3.5,1.1,0.6,2.2,1.3,1.2,3.6,7.3,3.6,0.9,1.3,2.2,0.6
CUB,Cuba,1.1,0.8,1.2,0.7,0.8,2.1,1.6,4.1,1.2,0.9,0.8,1.7,1.0,0.8,0.9,1.4,0.6,4.5,0.2,1.2,1.9,1.8,0.6,1.2,0.9,0.2
CYP,Cyprus,0.4,0.8,1.1,0.5,0.8,2.6,0.8,2.4,1.1,1.4,0.7,1.2,0.8,1.2,0.3,0.5,0.4,1.0,0.3,1.2,1.1,0.9,0.5,0.7,0.5,0.3
CZE,Czechia,1.4,1.9,3.9,1.7,1.2,13.9,4.0,0.8,3.4,2.2,2.5,2.4,1.7,1.9,0.8,0.7,2.0,1.6,1.3,3.9,9.2,3.8,0.9,1.4,2.9,0.7
PRK,Democratic People's Republic of Korea,0.7,1.2,1.7,0.9,0.4,3.1,2.5,3.3,1.7,0.9,1.3,2.2,1.1,1.3,1.0,0.8,0.5,9.1,0.4,1.6,3.3,2.1,0.5,0.9,1.3,0.4
COD,Democratic Republic of the Congo,1.2,0.8,1.1,0.5,0.3,1.1,2.3,6.0,1.5,0.8,1.2,1.7,0.6,0.2,1.3,0.3,1.0,1.5,0.5,0.8,2.9,2.3,0.8,1.4,1.1,0.2
DNK,Denmark,2.5,4.2,6.0,2.7,4.1,18.6,4.3,2.6,6.3,4.9,3.6,4.8,3.6,10.4,1.0,2.2,3.5,2.8,3.2,6.3,6.7,4.0,2.2,2.7,2.1,1.0
DJI,Djibouti,0.1,0.2,0.3,0.1,0.1,0.3,0.2,0.6,0.1,0.2,0.2,0.2,0.1,0.5,0.2,0.2,0.1,3.7,0.0,0.2,0.1,0.2,0.1,0.2,0.1,0.0
DOM,Dominican Republic,1.1,1.0,1.4,0.7,0.6,2.3,2.0,4.1,1.0,1.0,1.1,2.1,1.3,0.9,0.8,0.7,1.5,1.3,0.6,1.3,2.7,2.4,0.6,1.3,1.1,0.6
ECU,Ecuador,2.1,1.7,1.8,0.8,0.9,4.5,2.9,3.1,1.4,1.8,1.8,3.9,1.7,3.2,0.8,0.8,4.2,1.9,1.4,1.9,3.2,2.9,0.9,1.7,1.3,0.8
EGY,Egypt,0.9,1.4,2.1,1.0,0.6,6.9,2.9,3.3,1.8,1.3,1.8,2.4,1.3,1.0,0.8,0.6,0.8,1.9,0.4,2.1,5.5,2.8,0.6,1.2,1.6,0.4
SLV,El Salvador,1.0,1.0,1.2,0.7,0.7,2.5,1.9,0.8,1.1,1.0,1.0,1.6,0.8,1.2,0.7,0.4,0.3,0.7,0.4,1.2,1.3,1.6,0.5,0.8,0.8,0.3
GNQ,Equatorial Guinea,0.6,0.3,0.3,0.3,0.1,0.5,0.8,1.4,0.4,0.3,0.4,0.9,0.5,0.8,0.5,2.4,1.1,0.4,0.3,0.4,0.8,0.9,0.3,0.6,0.5,0.1
ERI,Eritrea,0.6,1.3,1.6,0.9,0.4,3.0,2.6,0.5,1.5,0.9,1.0,1.3,0.6,0.6,0.6,0.2,0.5,2.3,0.5,1.4,3.5,2.4,0.3,0.6,1.2,0.2
EST,Estonia,1.3,2.6,4.6,1.9,1.8,16.6,4.4,1.2,4.0,3.1,2.9,2.9,2.5,7.4,1.1,1.6,1.0,2.1,0.7,5.1,10.0,4.2,1.3,1.8,3.3,0.7
SWZ,Eswatini,2.8,0.7,1.1,1.1,1.6,2.0,2.0,2.4,0.9,0.7,0.9,1.7,0.9,0.7,0.7,0.2,0.3,0.9,0.3,0.8,1.4,2.1,0.4,1.2,0.6,0.2
ETH,Ethiopia,1.0,2.1,2.7,1.5,0.5,4.8,4.5,1.0,2.3,1.3,1.7,2.6,1.2,0.5,1.7,0.6,0.7,1.4,0.8,2.4,6.5,3.8,0.6,1.2,2.1,0.5
FJI,Fiji,1.5,0.9,1.1,0.8,0.9,3.1,1.4,1.8,0.8,0.7,1.1,1.6,1.0,2.1,0.5,0.6,0.7,2.5,0.2,1.2,2.7,2.4,0.6,1.3,1.0,0.2
FIN,Finland,1.0,2.0,3.1,1.2,1.7,9.7,2.7,0.8,2.6,2.6,1.7,2.0,1.9,4.7,0.6,1.4,1.0,1.3,0.8,3.4,5.2,2.4,1.0,1.3,1.6,0.6
FRA,France,2.0,3.2,5.9,2.5,1.8,21.0,6.0,1.6,4.8,4.7,3.7,4.3,2.7,3.5,1.4,1.3,2.9,3.0,1.5,5.8,14.0,6.0,1.4,2.1,3.7,1.3
PYF,French Polynesia,0.6,0.6,1.0,0.7,0.2,3.0,0.9,1.7,0.5,0.4,0.7,0.7,0.5,1.5,0.5,0.4,0.3,0.6,0.2,1.0,3.4,2.4,0.4,0.7,1.4,0.2
GAB,Gabon,0.6,0.9,0.9,0.5,0.3,1.5,1.5,3.2,0.9,0.7,0.9,1.8,0.7,2.1,0.7,0.4,0.7,3.2,0.4,0.9,1.3,1.6,0.6,1.3,0.8,0.3
GMB,Gambia,0.8,1.5,1.3,0.6,0.3,2.0,2.4,0.3,1.5,0.9,1.7,1.3,1.0,2.2,1.0,0.2,1.2,1.0,1.4,1.4,2.9,3.1,0.3,0.5,0.8,0.2
GEO,Georgia,0.4,0.7,1.1,0.5,0.6,2.6,1.4,1.3,1.0,1.7,0.7,1.2,0.7,1.4,0.3,0.5,0.5,1.4,0.4,1.2,2.3,1.4,0.4,0.6,0.7,0.3
DEU,Germany,1.4,2.0,3.7,1.6,1.8,12.1,3.2,1.2,3.3,2.7,2.2,2.5,1.9,3.0,0.7,1.1,2.0,2.1,1.6,3.8,6.7,3.0,1.1,1.4,2.0,0.7
GHA,Ghana,1.4,1.6,2.1,1.3,0.4,2.3,4.6,6.6,2.1,1.1,1.7,3.2,1.2,1.0,1.6,0.5,1.9,1.0,0.9,2.0,5.0,6.4,0.8,2.7,2.5,0.4
GRC,Greece,1.1,1.6,2.7,1.7,1.4,8.1,3.0,4.4,2.3,2.9,1.9,2.2,1.5,1.8,1.0,1.2,3.8,2.7,1.1,2.9,6.4,4.4,0.9,1.4,2.4,0.9
GRD,Grenada,0.3,0.6,0.8,0.6,0.2,2.0,1.2,2.5,0.4,0.6,0.8,0.9,0.5,1.5,0.5,0.6,0.5,3.1,0.2,0.8,1.7,1.9,0.4,0.7,0.9,0.2
GLP,Guadeloupe,1.0,0.4,0.5,0.5,0.6,1.3,1.0,2.6,0.4,0.5,0.6,1.5,0.7,1.1,0.6,0.7,0.3,6.5,0.1,0.5,0.9,1.0,0.4,1.0,0.5,0.1
GUM,Guam,0.7,0.4,0.8,0.7,0.1,1.7,0.8,1.2,0.4,0.2,0.3,0.4,0.4,0.2,0.5,0.2,0.2,1.5,0.1,0.7,3.2,2.2,0.2,0.6,1.3,0.1
GTM,Guatemala,1.9,1.2,1.6,1.0,0.9,2.7,2.6,2.3,1.5,1.1,1.1,2.2,0.9,0.7,0.9,0.5,2.1,2.1,1.1,1.3,1.6,2.6,0.6,1.0,1.1,0.5
GIN,Guinea,1.5,1.5,1.7,0.7,0.4,2.8,2.9,3.0,1.7,0.9,1.8,2.0,1.5,1.5,1.0,0.7,2.5,3.4,1.4,1.5,4.8,3.2,0.6,1.1,1.2,0.4
GNB,Guinea-Bissau,1.3,1.6,2.0,0.9,0.6,3.1,3.2,1.9,1.9,1.1,1.5,1.8,1.4,0.9,1.1,0.4,1.7,3.1,1.3,1.9,4.4,4.0,0.5,1.0,1.0,0.4
GUY,Guyana,2.3,1.8,2.0,1.0,1.2,5.8,2.7,1.9,1.5,1.0,2.0,2.5,2.1,2.5,0.7,0.6,0.7,1.5,0.4,2.1,5.9,2.9,0.8,1.3,0.9,0.4
HTI,Haiti,0.5,0.6,0.9,0.5,0.3,1.1,1.5,2.3,1.0,0.5,0.7,1.3,0.6,0.3,0.9,1.2,0.4,1.7,0.3,0.8,1.4,1.7,0.3,0.8,0.9,0.3
HND,Honduras,1.5,0.9,1.0,0.5,0.6,1.9,1.5,2.0,0.9,0.9,0.8,1.6,0.7,0.9,0.6,0.4,3.1,1.9,1.1,1.0,1.0,1.3,0.4,0.8,0.7,0.4
HUN,Hungary,2.4,3.7,7.8,3.4,1.3,22.8,10.1,2.0,8.1,4.3,5.4,7.4,2.9,1.6,2.4,0.9,10.2,2.1,4.1,7.5,14.1,10.1,1.6,2.4,4.9,0.9
ISL,Iceland,3.4,19.7,7.0,3.5,2.6,78.0,10.4,1.4,6.1,14.2,20.9,16.6,8.7,171.1,1.1,6.6,6.7,1.4,5.2,17.6,0.7,4.6,8.8,7.4,0.1,0.1
IND,India,1.2,1.8,2.2,1.1,0.8,7.0,3.1,2.2,2.0,1.1,1.7,2.1,1.5,0.7,1.2,0.5,0.8,4.0,0.7,2.3,8.7,3.1,0.5,1.0,1.6,0.5
IDN,Indonesia,2.5,1.6,1.9,0.8,0.3,4.4,2.7,2.3,1.6,0.8,1.7,2.2,1.6,1.7,0.6,0.6,5.0,2.3,1.8,1.8,5.6,2.8,0.6,0.9,1.2,0.3
IRN,Iran (Islamic Republic of),0.9,1.6,2.5,1.1,0.7,9.4,2.9,3.6,2.0,1.8,2.0,2.4,1.6,1.3,1.0,0.8,0.9,3.3,0.6,2.7,7.9,3.2,0.8,1.4,2.0,0.6
IRQ,Iraq,0.4,0.7,1.3,0.6,0.2,5.7,1.6,1.1,1.1,0.6,1.0,1.0,0.6,0.2,0.4,0.2,0.4,1.6,0.2,1.2,4.4,1.6,0.3,0.6,1.1,0.2
IRL,Ireland,1.4,3.3,5.3,1.5,3.0,12.7,3.2,0.9,3.4,4.6,2.6,3.0,2.8,10.3,0.8,2.2,0.7,1.3,0.8,4.9,4.3,3.1,1.7,1.9,1.4,0.7
ISR,Israel,0.5,1.3,1.5,0.6,0.9,2.9,1.4,4.7,1.1,1.8,1.4,2.1,1.4,2.1,0.7,2.0,0.9,3.3,0.5,1.6,2.1,1.5,0.8,1.3,0.8,0.5
ITA,Italy,0.9,1.6,2.6,1.3,1.2,8.3,2.5,3.5,2.3,3.8,1.7,2.1,1.5,2.1,0.9,1.2,1.6,4.8,0.7,2.7,6.7,3.1,0.9,1.4,1.9,0.7
JAM,Jamaica,0.6,0.7,0.7,0.4,0.6,1.2,0.9,3.0,0.6,0.7,0.7,1.3,0.8,0.6,0.5,1.2,0.3,2.8,0.2,0.9,1.2,1.3,0.4,1.0,0.6,0.2
JPN,Japan,0.4,0.9,1.2,0.4,0.4,2.9,0.9,1.1,0.8,0.8,0.8,1.0,0.9,2.1,0.3,0.8,0.3,2.8,0.2,1.1,1.8,1.0,0.6,0.5,0.4,0.2
JOR,Jordan,0.2,0.4,0.5,0.2,0.3,0.7,0.5,1.9,0.3,0.6,0.5,0.8,0.5,0.5,0.3,0.5,0.4,2.0,0.1,0.5,0.6,0.6,0.3,0.5,0.3,0.1
KAZ,Kazakhstan,1.4,2.7,4.9,1.9,1.3,18.6,5.3,2.8,4.0,2.4,3.2,3.6,2.4,2.5,1.4,1.4,2.8,2.4,1.2,4.9,12.8,5.3,1.1,1.9,3.2,1.1
KEN,Kenya,0.8,1.3,1.7,0.8,0.6,2.8,2.7,2.0,1.6,1.2,1.1,2.2,0.9,1.0,1.0,1.0,0.4,2.6,0.5,1.5,2.0,2.3,0.5,1.0,1.2,0.4
KIR,Kiribati,1.2,2.4,1.7,1.4,0.3,10.3,2.2,1.7,1.3,1.0,4.4,3.4,1.2,8.4,1.1,1.7,0.8,4.5,0.4,2.4,5.2,4.1,1.0,1.6,2.1,0.3
KWT,Kuwait,0.2,0.3,0.4,0.2,0.2,0.8,0.4,1.1,0.2,0.4,0.4,0.6,0.5,0.6,0.2,0.3,0.2,2.6,0.1,0.4,0.3,0.5,0.4,0.4,0.3,0.1
KGZ,Kyrgyzstan,0.8,1.5,2.4,1.0,1.0,7.3,2.7,2.3,2.0,1.7,1.5,2.3,1.4,1.8,1.1,1.4,0.7,2.8,0.4,2.4,4.9,2.6,0.7,1.3,1.6,0.4
LAO,Lao People's Democratic Republic,1.3,2.0,2.4,1.0,0.6,4.7,3.4,4.1,2.3,1.0,2.1,2.8,2.2,0.8,1.1,0.9,0.8,21.0,0.7,2.2,7.1,3.3,0.6,1.2,1.2,0.6
LVA,Latvia,1.5,2.7,5.2,2.2,1.5,21.6,5.2,1.8,4.0,2.9,3.5,3.5,2.7,8.1,1.2,1.5,1.6,2.5,1.0,5.8,13.6,4.7,1.5,1.9,3.6,1.0
LBN,Lebanon,0.3,0.6,0.8,0.4,0.3,2.0,0.9,2.6,0.7,0.8,0.7,1.0,0.6,0.6,0.4,0.5,0.7,1.7,0.2,0.8,1.8,1.1,0.3,0.7,0.7,0.2
LSO,Lesotho,0.4,0.7,0.9,0.4,0.4,1.8,1.2,1.0,0.8,0.8,0.6,1.1,0.5,0.9,0.3,0.3,0.2,1.8,0.2,0.9,0.9,1.0,0.3,0.5,0.5,0.2
LBR,Liberia,0.8,0.6,0.7,0.3,0.2,1.2,1.2,2.1,0.7,0.4,0.7,1.0,0.6,0.4,0.4,0.2,1.3,2.8,0.4,0.6,2.2,1.4,0.3,0.6,0.5,0.2
LBY,Libya,0.5,0.9,1.3,0.7,0.5,4.0,1.6,2.2,1.1,1.1,1.2,1.5,0.9,0.9,0.5,0.6,0.9,2.6,0.3,1.3,2.8,2.0,0.6,0.9,1.2,0.3
LTU,Lithuania,2.1,3.5,6.9,2.9,1.8,28.3,6.7,1.4,5.4,3.4,4.6,4.2,3.3,5.1,1.5,1.6,2.0,1.7,1.2,7.2,18.6,6.4,1.6,2.4,5.0,1.2
LUX,Luxembourg,0.8,1.5,2.4,0.8,1.7,7.7,2.0,0.4,1.9,2.8,1.1,1.3,1.5,3.1,0.5,1.1,0.9,0.8,0.7,2.8,4.4,1.9,0.7,1.0,1.1,0.4
MDG,Madagascar,1.0,1.2,1.4,0.5,0.3,2.7,2.2,2.3,1.4,0.7,1.2,1.7,1.2,0.6,0.6,0.8,0.5,2.2,0.3,1.2,4.5,2.2,0.4,0.8,0.9,0.3
MWI,Malawi,1.6,2.3,2.7,1.4,0.5,3.5,5.1,5.0,3.2,1.7,2.5,4.7,1.9,0.4,1.7,5.4,1.1,2.7,1.2,2.2,4.4,4.6,0.8,2.0,2.4,0.4
MYS,Malaysia,10.2,1.3,1.1,0.5,0.2,4.0,1.0,1.1,0.8,0.9,1.2,1.5,1.1,3.3,0.3,0.5,33.8,11.7,9.6,1.2,2.0,1.2,0.8,0.6,0.4,0.2
MDV,Maldives,0.4,3.4,0.8,0.5,0.1,13.3,1.4,0.5,0.9,1.0,6.7,4.2,0.9,14.4,0.2,2.8,0.7,0.7,0.4,2.4,0.3,0.8,1.1,0.9,0.1,0.1
MLI,Mali,1.5,2.8,3.2,1.7,0.8,3.9,6.1,2.5,3.3,2.0,2.7,3.4,1.9,1.1,2.2,1.1,0.9,4.5,1.4,3.2,6.5,6.3,0.7,1.5,2.1,0.7
MLT,Malta,0.3,0.7,0.9,0.5,0.5,2.7,0.8,1.9,0.8,1.0,0.7,0.9,0.6,1.2,0.5,0.7,0.3,6.3,0.2,1.0,1.5,0.9,0.5,0.6,0.5,0.2
MRT,Mauritania,0.6,1.7,1.5,0.6,1.0,3.8,1.7,0.2,1.1,1.5,1.0,1.3,1.1,6.9,0.4,0.6,0.3,0.3,0.4,1.7,2.0,1.7,0.6,0.7,0.5,0.2
MUS,Mauritius,1.6,0.5,0.5,0.5,0.9,1.3,0.7,0.9,0.2,0.4,0.6,1.0,0.7,0.6,0.2,0.4,0.2,0.6,0.1,0.5,0.6,0.8,0.3,0.7,0.1,0.1
MEX,Mexico,1.0,1.6,2.3,1.0,0.7,5.0,2.8,3.6,2.0,1.6,1.6,2.7,1.3,2.3,0.9,0.7,0.8,1.5,0.7,2.0,2.9,2.5,0.9,1.1,1.4,0.7
FSM,Micronesia (Federated States of),1.5,5.4,2.4,1.6,0.5,23.4,3.5,2.3,2.1,2.0,10.5,7.1,2.1,23.0,0.8,4.9,1.3,4.2,0.7,4.4,4.8,4.3,2.2,2.4,1.9,0.5
MNG,Mongolia,0.7,1.7,2.9,1.0,0.7,9.7,2.3,0.8,1.7,1.4,1.9,1.5,1.1,2.5,0.5,0.8,0.6,1.5,0.4,2.5,6.2,2.3,0.7,0.9,1.4,0.4
MNE,Montenegro,0.3,0.6,0.8,0.2,0.9,1.6,0.6,1.3,0.6,1.9,0.3,0.6,0.8,1.8,0.3,0.7,0.2,0.7,0.2,1.1,0.9,0.7,0.4,0.5,0.3,0.2
MAR,Morocco,0.9,1.9,2.6,1.3,0.6,10.3,3.0,2.8,2.2,1.6,2.1,2.3,1.3,5.0,0.9,1.0,1.2,2.0,0.6,2.6,6.9,3.2,0.8,1.3,2.2,0.6
MOZ,Mozambique,1.0,1.3,1.7,0.9,0.5,2.3,3.0,3.2,1.8,1.0,1.2,2.1,0.8,0.6,1.1,1.1,0.6,1.4,0.7,1.3,2.8,3.3,0.6,1.2,1.3,0.5
MMR,Myanmar,1.6,2.8,3.2,1.3,1.1,6.6,4.1,2.4,2.8,1.3,2.7,3.1,2.4,2.3,1.4,0.5,1.5,7.1,1.7,3.0,8.7,5.4,0.9,1.2,1.4,0.5
NAM,Namibia,0.7,2.9,1.7,1.0,0.4,7.5,2.2,1.5,1.6,1.9,2.5,2.5,1.2,12.6,1.3,0.6,0.8,1.4,0.6,2.3,1.5,2.1,1.1,1.3,0.8,0.4
NPL,Nepal,1.2,2.0,2.6,1.2,0.7,7.9,3.8,4.2,2.4,1.3,2.0,2.8,1.6,0.5,1.2,0.6,1.1,13.4,0.7,2.4,7.1,3.6,0.6,1.3,1.9,0.5
NLD,Netherlands,1.2,2.5,3.3,1.3,2.8,7.8,2.2,3.9,2.8,3.9,2.0,3.3,2.7,6.0,0.9,2.6,0.7,3.2,0.8,3.8,1.7,2.2,1.8,2.1,0.8,0.7
